"submissionID","marker","referenceDB","referenceDB_simplified","error_rate_tool","ASV.OTU","tax_assign_cat","otu_seq_comp_appr","tax_class_id_cutoff","tax_class_evalue","tax_class_query_cutoff","tax_class_collapse","screen_other","screen_explanation","submitterID_anon","pipeline_anon"
"submitter60_16S_16SAllFishDez2023_pipeline26","16S","16SAllFishDez2023","16SAllFishDez2023","fastp","OTU","sequence similarity","ecotag",NA,NA,NA,NA,NA,NA,"submitter60","pipeline26"
"submitter17_12S_12SAllFishDez2023_pipeline65","12S","12SAllFishDez2023","12SAllFishDez2023","vsearch","ASV","sequence composition","vsearch sintax",0.75,NA,NA,"LULU",NA,NA,"submitter17","pipeline65"
"submitter17_COI_BOLD_pipeline65","COI","BOLD","BOLD","DnoisE","ASV","sequence composition","vsearch sintax",0.75,NA,NA,"LULU",NA,NA,"submitter17","pipeline65"
"submitter17_16S_16SAllFishDez2023_pipeline65","16S","16SAllFishDez2023","16SAllFishDez2023","vsearch","ASV","sequence composition","vsearch sintax",0.75,NA,NA,"LULU",NA,NA,"submitter17","pipeline65"
"submitter17_12S_12SAllFishDez2023MIDORI2_pipeline65","12S","12SAllFishDez2023MIDORI2","12SAllFishDez2023MIDORI2","vsearch","ASV","sequence composition","vsearch sintax",0.75,NA,NA,"LULU",NA,NA,"submitter17","pipeline65"
"submitter32_12S_12SAllFishDez2023_pipeline23","12S","12SAllFishDez2023","12SAllFishDez2023","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA,NA,"submitter32","pipeline23"
"submitter32_16S_16SAllFishDez2023_pipeline23","16S","16SAllFishDez2023","16SAllFishDez2023","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA,NA,"submitter32","pipeline23"
"submitter32_COI_COIAllFishDez2023_pipeline23","COI","COIAllFishDez2023","COIAllFishDez2023","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA,NA,"submitter32","pipeline23"
"submitter29_COI_COIAllFishDez2023_pipeline59","COI","COIAllFishDez2023","COIAllFishDez2023","dada2","ASV","sequence similarity","blastn",97,NA,95,NA,NA,NA,"submitter29","pipeline59"
"submitter29_12S_12SAllFishDez2023_pipeline59","12S","12SAllFishDez2023","16SAllFishDez2023","dada2","ASV","sequence similarity","blastn",97,NA,95,NA,NA,NA,"submitter29","pipeline59"
"submitter11_12S_12SAllFishDez2023_pipeline10","12S","12SAllFishDez2023","12SAllFishDez2023","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,"submitter11","pipeline10"
"submitter11_COI_COIMetazoaSep2024_pipeline10","COI","COIMetazoaSep2024","COIMetazoa","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,"submitter11","pipeline10"
"submitter16_12S_12SAllFishDez2023_pipeline77","12S","12SAllFishDez2023","12SAllFishDez2023","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001","submitter16","pipeline77"
"submitter16_12S_NCBILCABestHit_pipeline77","12S","NCBILCABestHit","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001","submitter16","pipeline77"
"submitter16_12S_NCBILCA_pipeline77","12S","NCBILCA","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001","submitter16","pipeline77"
"submitter16_16S_16SAllFishDez2023_pipeline77","16S","16SAllFishDez2023","16SAllFishDez2023","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001","submitter16","pipeline77"
"submitter16_16S_NCBILCABestHit_pipeline77","16S","NCBILCABestHit","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001","submitter16","pipeline77"
"submitter16_16S_NCBILCA_pipeline77","16S","NCBILCA","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001","submitter16","pipeline77"
"submitter16_COI_COIMetazoa_pipeline77","COI","COIMetazoa","COIMetazoa","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001","submitter16","pipeline77"
"submitter16_COI_NCBILCABestHit_pipeline77","COI","NCBILCABestHit","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001","submitter16","pipeline77"
"submitter16_COI_NCBILCA_pipeline77","COI","NCBILCA","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001","submitter16","pipeline77"
"submitter94_12S_MifishDez2023_pipeline10","12S","MifishDez2023","MifishDez2023","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,"submitter94","pipeline10"
"submitter94_12S_mifishdbv3.83_pipeline10","12S","mifishdbv3.83","mifishdbv3.83","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,"submitter94","pipeline10"
"submitter62_12S_12SAllFishDez2023_pipeline99","12S","12SAllFishDez2023","12SAllFishDez2023","dada2","ASV","sequence similarity","blastn",NA,NA,NA,NA,"YES","needleall after blastn for optimum alignment","submitter62","pipeline99"
"submitter62_12S_12SAllFishDez2023_pipeline4","12S","12SAllFishDez2023","12SAllFishDez2023","swarm","OTU","sequence similarity","blastn",NA,NA,NA,NA,"YES","needleall after blastn for optimum alignment","submitter62","pipeline4"
"submitter62_16S_16SAllFishDez2023_pipeline99","16S","16SAllFishDez2023","16SAllFishDez2023","dada2","ASV","sequence similarity","blastn",NA,NA,NA,NA,"YES","needleall after blastn for optimum alignment","submitter62","pipeline99"
"submitter62_16S_16SAllFishDez2023_pipeline4","16S","16SAllFishDez2023","16SAllFishDez2023","swarm","OTU","sequence similarity","blastn",NA,NA,NA,NA,"YES","needleall after blastn for optimum alignment","submitter62","pipeline4"
"submitter62_COI_COIMetazoaSep2024wormstax_pipeline99","COI","COIMetazoaSep2024wormstax","COIMetazoa","dada2","ASV","sequence similarity","blastn",NA,NA,NA,NA,"YES","needleall after blastn for optimum alignment","submitter62","pipeline99"
"submitter62_COI_COIMetazoaSep2024wormstax_pipeline4","COI","COIMetazoaSep2024wormstax","COIMetazoa","swarm","OTU","sequence similarity","blastn",NA,NA,NA,NA,"YES","needleall after blastn for optimum alignment","submitter62","pipeline4"
"submitter14_12S_12SAllFishDez2023_pipeline77","12S","12SAllFishDez2023","12SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering","submitter14","pipeline77"
"submitter14_16S_16SAllFishDez2023_pipeline77","16S","16SAllFishDez2023","16SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering","submitter14","pipeline77"
"submitter14_COI_COIAllFishDez2023_pipeline77","COI","COIAllFishDez2023","COIAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering","submitter14","pipeline77"
"submitter34_12S_12SAllFishDez2023_pipeline27","12S","12SAllFishDez2023","12SAllFishDez2023","dada2","ASV","sequence composition","qiime2",NA,NA,NA,NA,"YES","outlier detection odseq, rarefaction 5000","submitter34","pipeline27"
"submitter34_16S_16SAllFishDez2023_pipeline27","16S","16SAllFishDez2023","16SAllFishDez2023","dada2","ASV","sequence composition","qiime2",NA,NA,NA,NA,"YES","outlier detection odseq, rarefaction 5000","submitter34","pipeline27"
"submitter34_COI_COIMetazoa_pipeline27","COI","COIMetazoa","COIMetazoa","dada2","ASV","sequence composition","qiime2",NA,NA,NA,NA,"YES","outlier detection odseq, rarefaction 5000","submitter34","pipeline27"
"submitter26_12S_nt_pipeline87","12S","nt","nt","dada2","ASV","sequence similarity","blastn",80,NA,90,"LCA",NA,"","submitter26","pipeline87"
"submitter26_16S_nt_pipeline87","16S","nt","nt","dada2","ASV","sequence similarity","blastn",80,NA,90,"LCA",NA,"","submitter26","pipeline87"
"submitter44_COI_BOLD_pipeline95","COI","BOLD","BOLD","usearch","ASV","sequence similarity","blastn",NA,NA,NA,NA,NA,"kraken used for database filtering?","submitter44","pipeline95"
"submitter50_12S_12SAllFishDez2023_pipeline94","12S","12SAllFishDez2023","12SAllFishDez2023","vsearch","OTU","sequence similarity","blastn",75,0.001,90,"LCA",NA,"","submitter50","pipeline94"
"submitter50_16S_16SAllFishDez2023_pipeline94","16S","16SAllFishDez2023","16SAllFishDez2023","vsearch","OTU","sequence similarity","blastn",75,0.001,90,"LCA",NA,"","submitter50","pipeline94"
"submitter50_COI_COIMetazoa_pipeline94","COI","COIMetazoa","COIMetazoa","vsearch","OTU","sequence similarity","blastn",75,0.001,90,"LCA",NA,"","submitter50","pipeline94"
"submitter87_COI_MIDORI2_pipeline11","COI","MIDORI2","MIDORI2","vsearch","OTU","sequence similarity","BOLDIGGER3",97,NA,NA,"LULU",NA,"","submitter87","pipeline11"
"submitter87_COI_MIDORI2_pipeline31","COI","MIDORI2","MIDORI2","vsearch","OTU","sequence similarity","BOLDIGGER3",97,NA,NA,"LULU","YES","Filtered results manually to get final list?","submitter87","pipeline31"
"submitter95_COI_COIMetazoaSep2024wormstax_pipeline14","COI","COIMetazoaSep2024wormstax","COIMetazoa","mothur","OTU","sequence composition","mothur",0.7,NA,NA,NA,NA,NA,"submitter95","pipeline14"
"submitter1_12S_12SAllFishDez2023_pipeline37","12S","12SAllFishDez2023","12SAllFishDez2023","usearch","OTU","sequence similarity","usearch",80,NA,NA,NA,"YES","Manually curated","submitter1","pipeline37"
"submitter1_16S_16SAllFishDez2023_pipeline37","16S","16SAllFishDez2023","16SAllFishDez2023","usearch","OTU","sequence similarity","usearch",80,NA,NA,NA,"YES","Manually curated","submitter1","pipeline37"
"submitter1_COI_COIMetazoa_pipeline37","COI","COIMetazoa","COIMetazoa","usearch","OTU","sequence similarity","usearch",80,NA,NA,NA,"YES","Manually curated","submitter1","pipeline37"
"submitter1_12S_12SAllFishDez2023_pipeline32","12S","12SAllFishDez2023","12SAllFishDez2023","usearch","OTU","sequence similarity","usearch",80,NA,NA,NA,NA,NA,"submitter1","pipeline32"
"submitter1_16S_16SAllFishDez2023_pipeline32","16S","16SAllFishDez2023","16SAllFishDez2023","usearch","OTU","sequence similarity","usearch",80,NA,NA,NA,NA,NA,"submitter1","pipeline32"
"submitter1_COI_COIMetazoa_pipeline32","COI","COIMetazoa","COIMetazoa","usearch","OTU","sequence similarity","usearch",80,NA,NA,NA,NA,NA,"submitter1","pipeline32"
"submitter75_12S_12SAllFishDez2023_pipeline63","12S","12SAllFishDez2023","12SAllFishDez2023","dada2","ASV","sequence composition","rdp",0.8,NA,NA,NA,NA,NA,"submitter75","pipeline63"
"submitter75_12S_12SMifishncbint_pipeline63","12S","12SMifishncbint","12SMifishncbint","dada2","ASV","sequence composition","rdp",0.8,NA,NA,NA,NA,NA,"submitter75","pipeline63"
"submitter75_16S_16SAllFishDez2023_pipeline63","16S","16SAllFishDez2023","16SAllFishDez2023","dada2","ASV","sequence composition","rdp",0.8,NA,NA,NA,NA,NA,"submitter75","pipeline63"
"submitter75_16S_16S-ncbi_pipeline63","16S","16S-ncbi","NCBI","dada2","ASV","sequence composition","rdp",0.8,NA,NA,NA,NA,NA,"submitter75","pipeline63"
"submitter75_COI_COINCBInt_pipeline63","COI","COINCBInt","COINCBInt","dada2","ASV","sequence composition","rdp",0.8,NA,NA,NA,NA,NA,"submitter75","pipeline63"
"submitter75_12S_12SCRABSCustom_pipeline29","12S","12SCRABSCustom","NCBI","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline29"
"submitter75_12S_12SAllFishDez2023_pipeline29","12S","12SAllFishDez2023","12SAllFishDez2023","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline29"
"submitter75_12S_TerrimporterFish_pipeline29","12S","TerrimporterFish","TerrimporterFish","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline29"
"submitter75_12S_TerrimporterVert_pipeline29","12S","TerrimporterVert","TerrimporterVert","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline29"
"submitter75_12S_12SCRABSCustom_pipeline33","12S","12SCRABSCustom","NCBI","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline33"
"submitter75_12S_12SAllFishDez2023_pipeline33","12S","12SAllFishDez2023","12SAllFishDez2023","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline33"
"submitter75_12S_TerrimporterFish_pipeline33","12S","TerrimporterFish","TerrimporterFish","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline33"
"submitter75_12S_TerrimporterVert_pipeline33","12S","TerrimporterVert","TerrimporterVert","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline33"
"submitter75_16S_16SCRABSCustom_pipeline29","16S","16SCRABSCustom","NCBI","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline29"
"submitter75_16S_16SAllFishDez2023_pipeline29","16S","16SAllFishDez2023","16SAllFishDez2023","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline29"
"submitter75_16S_16SCRABSCustom_pipeline33","16S","16SCRABSCustom","NCBI","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline33"
"submitter75_16S_16SAllFishDez2023_pipeline33","16S","16SAllFishDez2023","16SAllFishDez2023","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline33"
"submitter75_COI_COICRABSCustom_pipeline29","COI","COICRABSCustom","NCBI","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline29"
"submitter75_COI_COICRABSCustom_pipeline67","COI","COICRABSCustom","NCBI","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,"YES","pseudogene removal","submitter75","pipeline67"
"submitter75_COI_COICRABSCustom_pipeline33","COI","COICRABSCustom","NCBI","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA,NA,"submitter75","pipeline33"
"submitter75_COI_COICRABSCustom_pipeline46","COI","COICRABSCustom","NCBI","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,"YES","pseudogene removal","submitter75","pipeline46"
"submitter35_COI_CRUXcustom_pipeline77","COI","CRUXcustom","CRUXcustom","dada2","ASV","other","bowtie2-blca",NA,NA,NA,"BLCA",NA,NA,"submitter35","pipeline77"
"submitter28_12S_12SAllFishDez2023_pipeline44","12S","12SAllFishDez2023","12SAllFishDez2023","dada2","ASV","sequence similarity","blastn",NA,0.001,NA,NA,NA,NA,"submitter28","pipeline44"
"submitter28_12S_12SAllFishDez2023_pipeline50","12S","12SAllFishDez2023","12SAllFishDez2023","dada2","OTU","sequence similarity","blastn",NA,0.001,NA,"LULU",NA,NA,"submitter28","pipeline50"
"submitter28_16S_16SAllFishDez2023_pipeline44","16S","16SAllFishDez2023","16SAllFishDez2023","dada2","ASV","sequence similarity","blastn",NA,0.001,NA,NA,NA,NA,"submitter28","pipeline44"
"submitter28_16S_16SAllFishDez2023_pipeline50","16S","16SAllFishDez2023","16SAllFishDez2023","dada2","OTU","sequence similarity","blastn",NA,0.001,NA,"LULU",NA,NA,"submitter28","pipeline50"
"submitter28_16S_COIMetazoa_pipeline44","16S","COIMetazoa","COIMetazoa","dada2","ASV","sequence similarity","blastn",NA,0.001,NA,NA,NA,NA,"submitter28","pipeline44"
"submitter28_COI_COIMetazoa_pipeline50","COI","COIMetazoa","COIMetazoa","dada2","OTU","sequence similarity","blastn",NA,0.001,NA,"LULU",NA,NA,"submitter28","pipeline50"
"submitter48_12S_12SAllFishDez2023_pipeline86","12S","12SAllFishDez2023","12SAllFishDez2023","SEED2","OTU","sequence similarity","blastn",NA,NA,NA,NA,NA,NA,"submitter48","pipeline86"
"submitter48_12S_NCBI_pipeline86","12S","NCBI","NCBI","SEED2","OTU","sequence similarity","blastn",NA,NA,NA,NA,NA,NA,"submitter48","pipeline86"
"submitter48_16S_16SAllFishDez2023_pipeline86","16S","16SAllFishDez2023","16SAllFishDez2023","SEED2","OTU","sequence similarity","blastn",NA,NA,NA,NA,NA,NA,"submitter48","pipeline86"
"submitter48_16S_NCBI_pipeline86","16S","NCBI","NCBI","SEED2","OTU","sequence similarity","blastn",NA,NA,NA,NA,NA,NA,"submitter48","pipeline86"
"submitter48_COI_COIMetazoaSep2024wormstax_pipeline86","COI","COIMetazoaSep2024wormstax","COIMetazoa","SEED2","OTU","sequence similarity","blastn",NA,NA,NA,NA,NA,NA,"submitter48","pipeline86"
"submitter43_16S_16SAllFishDez2023_pipeline61","16S","16SAllFishDez2023","16SAllFishDez2023","vsearch","OTU","sequence composition","rdp",0.8,NA,NA,NA,NA,NA,"submitter43","pipeline61"
"submitter58_COI_COIMetazoa_pipeline16","COI","COIMetazoa","COIMetazoa","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA,NA,"submitter58","pipeline16"
"submitter58_COI_COIMetazoa_pipeline92","COI","COIMetazoa","COIMetazoa","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA,NA,"submitter58","pipeline92"
"submitter58_COI_COIMetazoa_pipeline69","COI","COIMetazoa","COIMetazoa","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA,NA,"submitter58","pipeline69"
"submitter58_COI_COIMetazoa_pipeline52","COI","COIMetazoa","COIMetazoa","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA,NA,"submitter58","pipeline52"
"submitter58_COI_COIMetazoa_pipeline58","COI","COIMetazoa","COIMetazoa","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA,NA,"submitter58","pipeline58"
"submitter58_COI_COIMetazoa_pipeline71","COI","COIMetazoa","COIMetazoa","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA,NA,"submitter58","pipeline71"
"submitter58_COI_COIMetazoa_pipeline49","COI","COIMetazoa","COIMetazoa","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA,NA,"submitter58","pipeline49"
