"DATE","sampleID","month","year","season"
"13/03/2015","RAMORPHO204",3,2015,"Spring"
"27/03/2015","RAMORPHO205",3,2015,"Spring"
"13/04/2015","RAMORPHO206",4,2015,"Spring"
"27/04/2015","RAMORPHO207",4,2015,"Spring"
"12/05/2015","RAMORPHO208",5,2015,"Spring"
"26/05/2015","RAMORPHO209",5,2015,"Spring"
"09/06/2015","RAMORPHO210",6,2015,"Summer"
"24/06/2015","RAMORPHO211",6,2015,"Summer"
"10/07/2015","RAMORPHO212",7,2015,"Summer"
"24/07/2015","RAMORPHO213",7,2015,"Summer"
"10/08/2015","RAMORPHO214",8,2015,"Summer"
"24/08/2015","RAMORPHO215",8,2015,"Summer"
"07/09/2015","RAMORPHO216",9,2015,"Autumn"
"21/09/2015","RAMORPHO217",9,2015,"Autumn"
"06/10/2015","RAMORPHO218",10,2015,"Autumn"
"21/10/2015","RAMORPHO219",10,2015,"Autumn"
"04/11/2015","RAMORPHO220",11,2015,"Autumn"
"20/11/2015","RAMORPHO221",11,2015,"Autumn"
"04/12/2015","RAMORPHO222",12,2015,"Winter"
"17/12/2015","RAMORPHO223",12,2015,"Winter"
"04/01/2016","RAMORPHO224",1,2016,"Winter"
"18/01/2016","RAMORPHO225",1,2016,"Winter"
"02/02/2016","RAMORPHO226",2,2016,"Winter"
"17/02/2016","RAMORPHO227",2,2016,"Winter"
"04/03/2016","RAMORPHO228",3,2016,"Spring"
"17/03/2016","RAMORPHO229",3,2016,"Spring"
"01/04/2016","RAMORPHO230",4,2016,"Spring"
"15/04/2016","RAMORPHO231",4,2016,"Spring"
"29/04/2016","RAMORPHO232",4,2016,"Spring"
"13/05/2016","RAMORPHO233",5,2016,"Spring"
"30/05/2016","RAMORPHO234",5,2016,"Spring"
"14/06/2016","RAMORPHO235",6,2016,"Summer"
"28/06/2016","RAMORPHO236",6,2016,"Summer"
"13/07/2016","RAMORPHO237",7,2016,"Summer"
"28/07/2016","RAMORPHO238",7,2016,"Summer"
"12/08/2016","RAMORPHO239",8,2016,"Summer"
"26/08/2016","RAMORPHO240",8,2016,"Summer"
"09/09/2016","RAMORPHO241",9,2016,"Autumn"
"23/09/2016","RAMORPHO242",9,2016,"Autumn"
"10/10/2016","RAMORPHO243",10,2016,"Autumn"
"24/10/2016","RAMORPHO244",10,2016,"Autumn"
"08/11/2016","RAMORPHO245",11,2016,"Autumn"
"22/11/2016","RAMORPHO246",11,2016,"Autumn"
"07/12/2016","RAMORPHO247",12,2016,"Winter"
"22/12/2016","RAMORPHO248",12,2016,"Winter"
"06/01/2017","RAMORPHO249",1,2017,"Winter"
"20/01/2017","RAMORPHO250",1,2017,"Winter"
"06/02/2017","RAMORPHO251",2,2017,"Winter"
"20/02/2017","RAMORPHO252",2,2017,"Winter"
"07/03/2017","RAMORPHO253",3,2017,"Spring"
"22/03/2017","RAMORPHO254",3,2017,"Spring"
"05/04/2017","RAMORPHO255",4,2017,"Spring"
"20/04/2017","RAMORPHO256",4,2017,"Spring"
"04/05/2017","RAMORPHO257",5,2017,"Spring"
"19/05/2017","RAMORPHO258",5,2017,"Spring"
"02/06/2017","RAMORPHO259",6,2017,"Summer"
"16/06/2017","RAMORPHO260",6,2017,"Summer"
"03/07/2017","RAMORPHO261",7,2017,"Summer"
"17/07/2017","RAMORPHO262",7,2017,"Summer"
"01/08/2017","RAMORPHO263",8,2017,"Summer"
"16/08/2017","RAMORPHO264",8,2017,"Summer"
"31/08/2017","RAMORPHO265",8,2017,"Summer"
"14/09/2017","RAMORPHO266",9,2017,"Autumn"
"02/10/2017","RAMORPHO267",10,2017,"Autumn"
"13/10/2017","RAMORPHO268",10,2017,"Autumn"
"27/10/2017","RAMORPHO269",10,2017,"Autumn"
"13/11/2017","RAMORPHO270",11,2017,"Autumn"
"27/11/2017","RAMORPHO271",11,2017,"Autumn"
"12/12/2017","RAMORPHO272",12,2017,"Winter"
