"sampleID","DATE","month","year","season"
"RA101001","01/10/2010",10,2010,"Autumn"
"RA101015","15/10/2010",10,2010,"Autumn"
"RA101029","29/10/2010",10,2010,"Autumn"
"RA101129","29/11/2010",11,2010,"Autumn"
"RA101215","15/12/2010",12,2010,"Winter"
"RA110113","13/01/2011",1,2011,"Winter"
"RA110128","28/01/2011",1,2011,"Winter"
"RA110211","11/02/2011",2,2011,"Winter"
"RA110225","25/02/2011",2,2011,"Winter"
"RA110314","14/03/2011",3,2011,"Spring"
"RA110328","28/03/2011",3,2011,"Spring"
"RA110412","12/04/2011",4,2011,"Spring"
"RA110426","26/04/2011",4,2011,"Spring"
"RA110511","11/05/2011",5,2011,"Spring"
"RA110525","25/05/2011",5,2011,"Spring"
"RA110624","24/06/2011",6,2011,"Summer"
"RA110711","11/07/2011",7,2011,"Summer"
"RA110725","25/07/2011",7,2011,"Summer"
"RA110808","08/08/2011",8,2011,"Summer"
"RA110823","23/08/2011",8,2011,"Summer"
"RA110921","21/09/2011",9,2011,"Autumn"
"RA111004","04/10/2011",10,2011,"Autumn"
"RA111020","20/10/2011",10,2011,"Autumn"
"RA111102","02/11/2011",11,2011,"Autumn"
"RA111118","18/11/2011",11,2011,"Autumn"
"RA111205","05/12/2011",12,2011,"Winter"
"RA111219","19/12/2011",12,2011,"Winter"
"RA120104","04/01/2012",1,2012,"Winter"
"RA120118","18/01/2012",1,2012,"Winter"
"RA120201","01/02/2012",2,2012,"Winter"
"RA120216","16/02/2012",2,2012,"Winter"
"RA120305","05/03/2012",3,2012,"Spring"
"RA120316","16/03/2012",3,2012,"Spring"
"RA120402","02/04/2012",4,2012,"Spring"
"RA120430","30/04/2012",4,2012,"Spring"
"RA120514","14/05/2012",5,2012,"Spring"
"RA120529","29/05/2012",5,2012,"Spring"
"RA120613","13/06/2012",6,2012,"Summer"
"RA120628","28/06/2012",6,2012,"Summer"
"RA120712","12/07/2012",7,2012,"Summer"
"RA120727","27/07/2012",7,2012,"Summer"
"RA120810","10/08/2012",8,2012,"Summer"
"RA120827","27/08/2012",8,2012,"Summer"
"RA120910","10/09/2012",9,2012,"Autumn"
"RA121009","09/10/2012",10,2012,"Autumn"
"RA121022","22/10/2012",10,2012,"Autumn"
"RA121107","07/11/2012",11,2012,"Autumn"
"RA121122","22/11/2012",11,2012,"Autumn"
"RA121206","06/12/2012",12,2012,"Winter"
"RA121221","21/12/2012",12,2012,"Winter"
"RA130107","07/01/2013",1,2013,"Winter"
"RA130121","21/01/2013",1,2013,"Winter"
"RA130204","04/02/2013",2,2013,"Winter"
"RA130219","19/02/2013",2,2013,"Winter"
"RA130306","06/03/2013",3,2013,"Spring"
"RA130321","21/03/2013",3,2013,"Spring"
"RA130403","03/04/2013",4,2013,"Spring"
"RA130503","03/05/2013",5,2013,"Spring"
"RA130516","16/05/2013",5,2013,"Spring"
"RA130603","03/06/2013",6,2013,"Summer"
"RA130617","17/06/2013",6,2013,"Summer"
"RA130702","02/07/2013",7,2013,"Summer"
"RA130717","17/07/2013",7,2013,"Summer"
"RA130731","31/07/2013",7,2013,"Summer"
"RA130814","14/08/2013",8,2013,"Summer"
"RA130829","29/08/2013",8,2013,"Summer"
"RA130913","13/09/2013",9,2013,"Autumn"
"RA130926","26/09/2013",9,2013,"Autumn"
"RA131014","14/10/2013",10,2013,"Autumn"
"RA131030","30/10/2013",10,2013,"Autumn"
"RA131112","12/11/2013",11,2013,"Autumn"
"RA131126","26/11/2013",11,2013,"Autumn"
"RA131211","11/12/2013",12,2013,"Winter"
"RA131223","23/12/2013",12,2013,"Winter"
"RA140110","10/01/2014",1,2014,"Winter"
"RA140124","24/01/2014",1,2014,"Winter"
"RA140210","10/02/2014",2,2014,"Winter"
"RA140224","24/02/2014",2,2014,"Winter"
"RA140310","10/03/2014",3,2014,"Spring"
"RA140325","25/03/2014",3,2014,"Spring"
"RA140408","08/04/2014",4,2014,"Spring"
"RA140423","23/04/2014",4,2014,"Spring"
"RA140507","07/05/2014",5,2014,"Spring"
"RA140522","22/05/2014",5,2014,"Spring"
"RA140605","05/06/2014",6,2014,"Summer"
"RA140620","20/06/2014",6,2014,"Summer"
"RA140707","07/07/2014",7,2014,"Summer"
"RA140721","21/07/2014",7,2014,"Summer"
"RA140819","19/08/2014",8,2014,"Summer"
"RA140904","04/09/2014",9,2014,"Autumn"
"RA140918","18/09/2014",9,2014,"Autumn"
"RA141002","02/10/2014",10,2014,"Autumn"
"RA141016","16/10/2014",10,2014,"Autumn"
"RA141031","31/10/2014",10,2014,"Autumn"
"RA141114","14/11/2014",11,2014,"Autumn"
"RA141201","01/12/2014",12,2014,"Winter"
"RA150114","14/01/2015",1,2015,"Winter"
"RA150128","28/01/2015",1,2015,"Winter"
"RA150212","12/02/2015",2,2015,"Winter"
"RA150227","27/02/2015",2,2015,"Winter"
"RA150313","13/03/2015",3,2015,"Spring"
"RA150327","27/03/2015",3,2015,"Spring"
"RA150413","13/04/2015",4,2015,"Spring"
"RA150427","27/04/2015",4,2015,"Spring"
"RA150512","12/05/2015",5,2015,"Spring"
"RA150526","26/05/2015",5,2015,"Spring"
"RA150609","09/06/2015",6,2015,"Summer"
"RA150624","24/06/2015",6,2015,"Summer"
"RA150710","10/07/2015",7,2015,"Summer"
"RA150724","24/07/2015",7,2015,"Summer"
"RA150824","24/08/2015",8,2015,"Summer"
"RA150907","07/09/2015",9,2015,"Autumn"
"RA150921","21/09/2015",9,2015,"Autumn"
"RA151006","06/10/2015",10,2015,"Autumn"
"RA151021","21/10/2015",10,2015,"Autumn"
"RA151104","04/11/2015",11,2015,"Autumn"
"RA151120","20/11/2015",11,2015,"Autumn"
"RA151204","04/12/2015",12,2015,"Winter"
"RA151217","17/12/2015",12,2015,"Winter"
"RA160104","04/01/2016",1,2016,"Winter"
"RA160118","18/01/2016",1,2016,"Winter"
"RA160202","02/02/2016",2,2016,"Winter"
"RA160217","17/02/2016",2,2016,"Winter"
"RA160304","04/03/2016",3,2016,"Spring"
"RA160317","17/03/2016",3,2016,"Spring"
"RA160401","01/04/2016",4,2016,"Spring"
"RA160415","15/04/2016",4,2016,"Spring"
"RA160429","29/04/2016",4,2016,"Spring"
"RA160513","13/05/2016",5,2016,"Spring"
"RA160530","30/05/2016",5,2016,"Spring"
"RA160614","14/06/2016",6,2016,"Summer"
"RA160628","28/06/2016",6,2016,"Summer"
"RA160713","13/07/2016",7,2016,"Summer"
"RA160728","28/07/2016",7,2016,"Summer"
"RA160812","12/08/2016",8,2016,"Summer"
"RA160826","26/08/2016",8,2016,"Summer"
"RA160909","09/09/2016",9,2016,"Autumn"
"RA160923","23/09/2016",9,2016,"Autumn"
"RA161010","10/10/2016",10,2016,"Autumn"
"RA161024","24/10/2016",10,2016,"Autumn"
"RA161108","08/11/2016",11,2016,"Autumn"
"RA161122","22/11/2016",11,2016,"Autumn"
"RA161207","07/12/2016",12,2016,"Winter"
"RA161222","22/12/2016",12,2016,"Winter"
