"entryID","submissionID","submitterID","marker","referenceDB","pipeline","sampleID","referenceDB_simplified","error_rate_tool","ASV.OTU","tax_assign_cat","otu_seq_comp_appr","tax_class_id_cutoff","tax_class_evalue","tax_class_query_cutoff","tax_class_collapse","screen_other","screen_explanation","PC1","PC2"
"ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5_A","ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","COI","COIAllFishDez2023","QIIME2v.2023.5","A","COIAllFishDez2023","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA,NA,-0.418282847869738,0.071512315501292
"ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5_B","ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","COI","COIAllFishDez2023","QIIME2v.2023.5","B","COIAllFishDez2023","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA,NA,-0.436445853554721,0.0785210259693412
"ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5_C","ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","COI","COIAllFishDez2023","QIIME2v.2023.5","C","COIAllFishDez2023","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA,NA,-0.446581136640773,0.0527223967099934
"EnoraGeslain_12S_12SAllFishDez2023_MiFish_A","EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","A","12SAllFishDez2023","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,0.110365008488401,0.048707001831494
"EnoraGeslain_12S_12SAllFishDez2023_MiFish_B","EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","B","12SAllFishDez2023","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,0.0297688788603976,0.0686177879662985
"EnoraGeslain_12S_12SAllFishDez2023_MiFish_C","EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","C","12SAllFishDez2023","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,0.0750982292807495,0.0409975469210184
"EnoraGeslain_COI_COIMetazoaSep2024_MiFish_A","EnoraGeslain_COI_COIMetazoaSep2024_MiFish","EnoraGeslain","COI","COIMetazoaSep2024","MiFish","A","COIMetazoa","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,-0.421436421997843,0.0742636410780961
"EnoraGeslain_COI_COIMetazoaSep2024_MiFish_B","EnoraGeslain_COI_COIMetazoaSep2024_MiFish","EnoraGeslain","COI","COIMetazoaSep2024","MiFish","B","COIMetazoa","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,-0.432272111345727,0.0698516662614853
"EnoraGeslain_COI_COIMetazoaSep2024_MiFish_C","EnoraGeslain_COI_COIMetazoaSep2024_MiFish","EnoraGeslain","COI","COIMetazoaSep2024","MiFish","C","COIMetazoa","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,-0.443652443858216,0.054226130765882
"EvanMorien_12S_12SAllFishDez2023_DADA2_A","EvanMorien_12S_12SAllFishDez2023_DADA2","EvanMorien","12S","12SAllFishDez2023","DADA2","A","12SAllFishDez2023","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.217372975440908,-0.255488976598476
"EvanMorien_12S_12SAllFishDez2023_DADA2_B","EvanMorien_12S_12SAllFishDez2023_DADA2","EvanMorien","12S","12SAllFishDez2023","DADA2","B","12SAllFishDez2023","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.209359461143325,-0.258877492910129
"EvanMorien_12S_12SAllFishDez2023_DADA2_C","EvanMorien_12S_12SAllFishDez2023_DADA2","EvanMorien","12S","12SAllFishDez2023","DADA2","C","12SAllFishDez2023","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.209825798482989,-0.262777081380546
"EvanMorien_12S_NCBILCABestHit_DADA2_A","EvanMorien_12S_NCBILCABestHit_DADA2","EvanMorien","12S","NCBILCABestHit","DADA2","A","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.145472202088206,-0.226887685894324
"EvanMorien_12S_NCBILCABestHit_DADA2_B","EvanMorien_12S_NCBILCABestHit_DADA2","EvanMorien","12S","NCBILCABestHit","DADA2","B","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.0995508833757167,-0.207358238753061
"EvanMorien_12S_NCBILCABestHit_DADA2_C","EvanMorien_12S_NCBILCABestHit_DADA2","EvanMorien","12S","NCBILCABestHit","DADA2","C","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.147259429477759,-0.247780840723904
"EvanMorien_12S_NCBILCA_DADA2_A","EvanMorien_12S_NCBILCA_DADA2","EvanMorien","12S","NCBILCA","DADA2","A","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.195408361859218,-0.265927560084547
"EvanMorien_12S_NCBILCA_DADA2_B","EvanMorien_12S_NCBILCA_DADA2","EvanMorien","12S","NCBILCA","DADA2","B","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.16429854741756,-0.255314194506755
"EvanMorien_12S_NCBILCA_DADA2_C","EvanMorien_12S_NCBILCA_DADA2","EvanMorien","12S","NCBILCA","DADA2","C","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.176271230335244,-0.25639760830569
"EvanMorien_16S_16SAllFishDez2023_DADA2_A","EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","A","16SAllFishDez2023","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.284232053166482,0.0038943249014549
"EvanMorien_16S_16SAllFishDez2023_DADA2_B","EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","B","16SAllFishDez2023","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.288977767541908,0.00765657526760018
"EvanMorien_16S_16SAllFishDez2023_DADA2_C","EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","C","16SAllFishDez2023","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.285377304029335,0.00874258767624445
"EvanMorien_16S_NCBILCABestHit_DADA2_A","EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","A","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.1690407298364,-0.13645926785113
"EvanMorien_16S_NCBILCABestHit_DADA2_B","EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","B","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.165473315640746,-0.136761631122445
"EvanMorien_16S_NCBILCABestHit_DADA2_C","EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","C","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.19557915244931,-0.158080941657087
"EvanMorien_16S_NCBILCA_DADA2_A","EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","A","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.231731164344012,-0.00611548915291391
"EvanMorien_16S_NCBILCA_DADA2_B","EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","B","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.244854535457862,-0.00434010534491644
"EvanMorien_16S_NCBILCA_DADA2_C","EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","C","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",0.241465959391875,0.00851693172967937
"EvanMorien_COI_COIMetazoa_DADA2_A","EvanMorien_COI_COIMetazoa_DADA2","EvanMorien","COI","COIMetazoa","DADA2","A","COIMetazoa","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",-0.337483462094418,0.000347365092312011
"EvanMorien_COI_COIMetazoa_DADA2_B","EvanMorien_COI_COIMetazoa_DADA2","EvanMorien","COI","COIMetazoa","DADA2","B","COIMetazoa","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",-0.373173972949826,0.0244289198769301
"EvanMorien_COI_COIMetazoa_DADA2_C","EvanMorien_COI_COIMetazoa_DADA2","EvanMorien","COI","COIMetazoa","DADA2","C","COIMetazoa","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",-0.395735715643171,-0.00246278223178603
"EvanMorien_COI_NCBILCABestHit_DADA2_A","EvanMorien_COI_NCBILCABestHit_DADA2","EvanMorien","COI","NCBILCABestHit","DADA2","A","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",-0.401878636885434,0.0601659468121703
"EvanMorien_COI_NCBILCABestHit_DADA2_B","EvanMorien_COI_NCBILCABestHit_DADA2","EvanMorien","COI","NCBILCABestHit","DADA2","B","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",-0.424436110826622,0.0661902194867308
"EvanMorien_COI_NCBILCABestHit_DADA2_C","EvanMorien_COI_NCBILCABestHit_DADA2","EvanMorien","COI","NCBILCABestHit","DADA2","C","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",-0.441757055939248,0.045418027507719
"EvanMorien_COI_NCBILCA_DADA2_A","EvanMorien_COI_NCBILCA_DADA2","EvanMorien","COI","NCBILCA","DADA2","A","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",-0.396364300170558,-0.0707886009210772
"EvanMorien_COI_NCBILCA_DADA2_B","EvanMorien_COI_NCBILCA_DADA2","EvanMorien","COI","NCBILCA","DADA2","B","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",-0.436806108133293,-0.0456620937143785
"EvanMorien_COI_NCBILCA_DADA2_C","EvanMorien_COI_NCBILCA_DADA2","EvanMorien","COI","NCBILCA","DADA2","C","NCBI","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES","ASV table filtered on two parameters. If an ASV is present only in a single sample and only present in that sample at relative abundance < 0.001",-0.462193875987225,-0.0105250568388918
"FrankPanitz_12S_MifishDez2023_MiFish_A","FrankPanitz_12S_MifishDez2023_MiFish","FrankPanitz","12S","MifishDez2023","MiFish","A","MifishDez2023","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,0.134643245592683,0.0577467887030991
"FrankPanitz_12S_MifishDez2023_MiFish_B","FrankPanitz_12S_MifishDez2023_MiFish","FrankPanitz","12S","MifishDez2023","MiFish","B","MifishDez2023","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,0.0540768594581475,0.061780374340337
"FrankPanitz_12S_MifishDez2023_MiFish_C","FrankPanitz_12S_MifishDez2023_MiFish","FrankPanitz","12S","MifishDez2023","MiFish","C","MifishDez2023","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,0.0990317215240743,0.0459284393867546
"FrankPanitz_12S_mifishdbv3.83_MiFish_A","FrankPanitz_12S_mifishdbv3.83_MiFish","FrankPanitz","12S","mifishdbv3.83","MiFish","A","mifishdbv3.83","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,0.347732843400652,0.0924716313769583
"FrankPanitz_12S_mifishdbv3.83_MiFish_B","FrankPanitz_12S_mifishdbv3.83_MiFish","FrankPanitz","12S","mifishdbv3.83","MiFish","B","mifishdbv3.83","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,0.334196636889678,0.0695104779089761
"FrankPanitz_12S_mifishdbv3.83_MiFish_C","FrankPanitz_12S_mifishdbv3.83_MiFish","FrankPanitz","12S","mifishdbv3.83","MiFish","C","mifishdbv3.83","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA,NA,0.351376785408553,0.111013069606172
"KingslyChuoBeng_12S_12SAllFishDez2023_DADA2_A","KingslyChuoBeng_12S_12SAllFishDez2023_DADA2","KingslyChuoBeng","12S","12SAllFishDez2023","DADA2","A","12SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering",0.123903047388269,-0.0655712344643201
"KingslyChuoBeng_12S_12SAllFishDez2023_DADA2_B","KingslyChuoBeng_12S_12SAllFishDez2023_DADA2","KingslyChuoBeng","12S","12SAllFishDez2023","DADA2","B","12SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering",0.136559671797363,-0.0667096309043639
"KingslyChuoBeng_12S_12SAllFishDez2023_DADA2_C","KingslyChuoBeng_12S_12SAllFishDez2023_DADA2","KingslyChuoBeng","12S","12SAllFishDez2023","DADA2","C","12SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering",0.14404023678382,-0.0856005293918755
"KingslyChuoBeng_16S_16SAllFishDez2023_DADA2_A","KingslyChuoBeng_16S_16SAllFishDez2023_DADA2","KingslyChuoBeng","16S","16SAllFishDez2023","DADA2","A","16SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering",0.117278138315231,0.014726675458074
"KingslyChuoBeng_16S_16SAllFishDez2023_DADA2_B","KingslyChuoBeng_16S_16SAllFishDez2023_DADA2","KingslyChuoBeng","16S","16SAllFishDez2023","DADA2","B","16SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering",0.117743444264205,0.0120021450030441
"KingslyChuoBeng_16S_16SAllFishDez2023_DADA2_C","KingslyChuoBeng_16S_16SAllFishDez2023_DADA2","KingslyChuoBeng","16S","16SAllFishDez2023","DADA2","C","16SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering",0.123936811052756,0.0183407724799248
"KingslyChuoBeng_COI_COIAllFishDez2023_DADA2_A","KingslyChuoBeng_COI_COIAllFishDez2023_DADA2","KingslyChuoBeng","COI","COIAllFishDez2023","DADA2","A","COIAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering",-0.411874359411161,0.0666965208619269
"KingslyChuoBeng_COI_COIAllFishDez2023_DADA2_B","KingslyChuoBeng_COI_COIAllFishDez2023_DADA2","KingslyChuoBeng","COI","COIAllFishDez2023","DADA2","B","COIAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering",-0.433381456929258,0.074474474931135
"KingslyChuoBeng_COI_COIAllFishDez2023_DADA2_C","KingslyChuoBeng_COI_COIAllFishDez2023_DADA2","KingslyChuoBeng","COI","COIAllFishDez2023","DADA2","C","COIAllFishDez2023","dada2","ASV","sequence composition","dada2",0.8,NA,NA,NA,"YES","pre-filter the sequences just to remove those with Ns but perform no other filtering",-0.443976784295952,0.0427958036657852
"MadsReinholdtJensen_12S_nt_MetaBarFlow_A","MadsReinholdtJensen_12S_nt_MetaBarFlow","MadsReinholdtJensen","12S","nt","MetaBarFlow","A","nt","dada2","ASV","sequence similarity","blastn",80,NA,90,"LCA",NA,"",0.232220738534431,-0.163750540512152
"MadsReinholdtJensen_12S_nt_MetaBarFlow_B","MadsReinholdtJensen_12S_nt_MetaBarFlow","MadsReinholdtJensen","12S","nt","MetaBarFlow","B","nt","dada2","ASV","sequence similarity","blastn",80,NA,90,"LCA",NA,"",0.239079449630264,-0.202234329163549
"MadsReinholdtJensen_12S_nt_MetaBarFlow_C","MadsReinholdtJensen_12S_nt_MetaBarFlow","MadsReinholdtJensen","12S","nt","MetaBarFlow","C","nt","dada2","ASV","sequence similarity","blastn",80,NA,90,"LCA",NA,"",0.253974344308532,-0.200646683730992
"MadsReinholdtJensen_16S_nt_MetaBarFlow_A","MadsReinholdtJensen_16S_nt_MetaBarFlow","MadsReinholdtJensen","16S","nt","MetaBarFlow","A","nt","dada2","ASV","sequence similarity","blastn",80,NA,90,"LCA",NA,"",0.258707207106433,-0.0597177637347292
"MadsReinholdtJensen_16S_nt_MetaBarFlow_B","MadsReinholdtJensen_16S_nt_MetaBarFlow","MadsReinholdtJensen","16S","nt","MetaBarFlow","B","nt","dada2","ASV","sequence similarity","blastn",80,NA,90,"LCA",NA,"",0.159171807052703,-0.0340936105384404
"MadsReinholdtJensen_16S_nt_MetaBarFlow_C","MadsReinholdtJensen_16S_nt_MetaBarFlow","MadsReinholdtJensen","16S","nt","MetaBarFlow","C","nt","dada2","ASV","sequence similarity","blastn",80,NA,90,"LCA",NA,"",0.271008151030097,0.0255112261978857
"MariusEisele_COI_BOLD_UNOISE3metaMATE_A","MariusEisele_COI_BOLD_UNOISE3metaMATE","MariusEisele","COI","BOLD","UNOISE3metaMATE","A","BOLD","usearch","ASV","sequence similarity","blastn",NA,NA,NA,NA,NA,"kraken used for database filtering?",-0.366606486930902,0.111662794805932
"MariusEisele_COI_BOLD_UNOISE3metaMATE_B","MariusEisele_COI_BOLD_UNOISE3metaMATE","MariusEisele","COI","BOLD","UNOISE3metaMATE","B","BOLD","usearch","ASV","sequence similarity","blastn",NA,NA,NA,NA,NA,"kraken used for database filtering?",-0.322778132448805,0.114551885613042
"MariusEisele_COI_BOLD_UNOISE3metaMATE_C","MariusEisele_COI_BOLD_UNOISE3metaMATE","MariusEisele","COI","BOLD","UNOISE3metaMATE","C","BOLD","usearch","ASV","sequence similarity","blastn",NA,NA,NA,NA,NA,"kraken used for database filtering?",-0.374015252893734,0.109200712137888
